ID,scode,sname,sem,dept,credit
,15UME108,Engineering Graphics,1,BME,4
,15UCS109,Computer Programming Laboratory,1,BME,1
,15UGS112,Basic Sciences Laboratory - I,1,BME,1
,15UME110,Engineering Practices Laboratory,1,BME,1
,15UEN201,Business English and Presentation Skills,2,BME,3
,15UMA202,Engineering Mathematics - II,2,BME,4
,15UPH204,Solid State Physics,2,BME,3
,15UCY207,Environmental Science,2,BME,3
,15UBM208,ELECTRICAL CIRCUITS ANALYSIS,2,BME,3
,15UBM209,SENSORS AND MEASUREMENT TECHNIQUES,2,BME,3
,15UGS210,Basic Sciences Laboratory - II,2,BME,1
,15UBM211,ELECTRICAL CIRCUITS AND TRANSDUCER,2,BME,
,15UBM302,Human Anatomy and Physiology,3,BME,3
,15UBM303,Biochemistry,3,BME,3
,15UBM304,Biomedical Instruments,3,BME,3
,15UBM305,Semiconductor Devices and Circuits,3,BME,3
,15UMA321,Transforms and Partial Differential Equations,3,BME,4
,15UBM307,Semiconductor Devices and Circuits Laboratory,3,BME,1
,15UBM308,Biochemistry Laboratory,3,BME,1
,PH,Placement Hour,3,BME,0
,LH,Library Hours,3,BME,0
,15UGS331,Value Education and Human Rights,3,BME,0
,15UIT327,Object Oriented Programming and Data Structures,3,BME,3
,15UIT328,Object Oriented Programming and Data Structures Laboratory,3,BME,1
,15UBM861,Introduction to MATLAB,3,BME,1
,15UMA424,Probability and Random Processes,4,BME,4
,15UBM401,Analog and Digital Integrated Circuits,4,BME,3
,15UBM403,Medical Physics,4,BME,3
,15UBM404,Principles of Signals and Systems,4,BME,3
,15UBM405,Pathology and Microbiology,4,BME,3
,15UBM406,Diagnostic and Therapeutic Equipments-I,4,BME,3
,15UBM407,Analog and Digital Integrated Circuits Laboratory,4,BME,1
,15UBM408,Pathology and Microbiology Laboratory,4,BME,1
,15UGS431,Reasoning and Quantitative Aptitude,4,BME,1
,15UBM865,Medical Coding,4,BME,1
,15UBM501,Microprocessor and Controller,5,BME,3
,15UBM502,Diagnostic and Therapeutic Equipments II,5,BME,3
,15UBM503,Bio Control System,5,BME,4
,15UBM504,Principles of Digital Signal Processing,5,BME,3
,15UBM902,Clinical Engineering,5,BME,3
,15UBM920,Cancer Biology,5,BME,3
,15UBM507,Microprocessor and Controller Laboratory,5,BME,1
,15UBM508,Signal Processing Techniques Laboratory,5,BME,1
,15UBM509,Diagnostic and Therapeutic Equipments Laboratory,5,BME,1
,15U1T001,Internship-I,5,BME,1
,15UBM866,Multimedical Equipments Operating Skills Laboratory,5,BME,1
,15UEC973,Embedded Systems and Programming,6,BME,3
,15UBM601,Medical Imaging Equipments,6,BME,3
,15UBM602,Image Processing Techniques,6,BME,3
,15UBM603,Biomechanics,6,BME,3
,15UBM904,Forensic Science,6,BME,3
,15UBM607,Image Processing Techniques Laboratory,6,BME,1
,15UBM608,Technical Project,6,BME,3
,15UGS531,Soft Skills and Communication Laboratory,6,BME,1
,15UBM867,Medical Science,6,BME,1
,15UBM914,Telemedicine,6,BME,3
,15UCS976,Internet of Things,7,BME,3
,15UBM869,Artificial Intelligence in Healthcare,7,BME,1
,15UBM701,Hospital Management,7,BME,3
,15UBM702,Human Assist Devices,7,BME,3
